size,gzip_size,gzip_time,paper_size,paper_time
16777216,4903146,1.61,4194305,0.09
16777216,4903374,1.619,4194305,0.09
33554432,9805121,3.217,8388609,0.179
33554432,9805285,3.224,8388609,0.179
33554432,9806013,3.224,8388609,0.183
33554432,9806098,3.213,8388609,0.18
33554432,9805299,3.224,8388609,0.179
33554432,9805250,3.23,8388609,0.184
33554432,9805891,3.22,8388609,0.18
33554432,9806643,3.561,8388609,0.182
33554432,9806063,3.243,8388609,0.179
33554432,9806225,3.228,8388609,0.18
33554432,9805314,3.223,8388609,0.181
33554432,9805304,3.227,8388609,0.179
33554432,9806493,3.231,8388609,0.181
33554432,9806538,3.223,8388609,0.18
33554432,9805539,3.232,8388609,0.184
33554432,9805979,3.227,8388609,0.182
33554432,9806096,3.226,8388609,0.18
33554432,9805729,3.233,8388609,0.183
33554432,9806565,3.223,8388609,0.181
33554432,9805293,3.22,8388609,0.181
33554432,9805698,3.228,8388609,0.183
33554432,9805634,3.219,8388609,0.179
33554432,9805475,3.214,8388609,0.184
33554432,9805158,3.216,8388609,0.179
33554432,9806211,3.257,8388609,0.186
33554432,9805893,3.258,8388609,0.185
33554432,9807103,3.256,8388609,0.182
33554432,9805349,3.246,8388609,0.182
33554432,9805381,3.252,8388609,0.185
33554432,9804858,3.284,8388609,0.182
67108864,19610374,6.476,16777217,0.358
67108864,19610987,6.487,16777217,0.36
67108864,19611332,6.485,16777217,0.367
67108864,19609461,7.018,16777217,0.403
67108864,19611287,6.608,16777217,0.372
67108864,19609785,7.476,16777217,0.358
67108864,19610326,7.745,16777217,0.381
67108864,19609901,6.639,16777217,0.359
67108864,19612523,6.821,16777217,0.371
67108864,19611244,6.446,16777217,0.361
67108864,19611092,6.553,16777217,0.369
67108864,19611438,6.658,16777217,0.45
67108864,19611501,6.849,16777217,0.454
67108864,19610465,6.989,16777217,0.364
67108864,19610672,6.895,16777217,0.405
67108864,19611262,6.433,16777217,0.364
67108864,19611383,6.568,16777217,0.364
67108864,19610054,6.471,16777217,0.358
67108864,19611007,6.732,16777217,0.359
67108864,19610139,6.448,16777217,0.368
67108864,19611176,7.069,16777217,0.364
67108864,19611130,6.426,16777217,0.358
67108864,19611148,6.557,16777217,0.36
67108864,19612199,6.442,16777217,0.37
67108864,19610032,6.434,16777217,0.36
67108864,19610227,6.547,16777217,0.358
67108864,19610664,6.45,16777217,0.361
67108864,19610607,6.478,16777217,0.474
67108864,19609256,6.477,16777217,0.359
67108864,19610853,6.557,16777217,0.365
134217728,39222936,12.915,33554433,0.716
134217728,39220434,13.03,33554433,0.734
134217728,39219990,13.286,33554433,0.739
134217728,39220515,12.977,33554433,0.721
134217728,39221607,12.879,33554433,0.722
134217728,39220658,13.143,33554433,0.715
134217728,39220774,13.002,33554433,0.731
134217728,39221323,12.973,33554433,0.728
134217728,39220679,13.051,33554433,0.735
134217728,39221319,13.087,33554433,0.74
134217728,39221244,13.196,33554433,0.726
134217728,39221092,13.017,33554433,0.78
134217728,39220647,12.927,33554433,0.732
134217728,39224776,13.003,33554433,0.746
134217728,39222344,12.954,33554433,0.722
134217728,39219829,13.025,33554433,0.746
134217728,39221177,12.97,33554433,0.74
134217728,39221587,13.057,33554433,0.733
134217728,39219998,13.162,33554433,0.737
134217728,39221606,12.919,33554433,0.731
134217728,39222085,12.999,33554433,0.717
134217728,39221653,13.018,33554433,0.715
134217728,39221161,13.452,33554433,0.796
134217728,39221179,13.622,33554433,0.753
134217728,39221581,15.903,33554433,1.036
134217728,39220619,16.319,33554433,0.721
134217728,39221258,13.869,33554433,0.726
134217728,39222373,12.885,33554433,0.747
134217728,39220841,13.35,33554433,0.76
134217728,39221694,13.358,33554433,0.751
268435456,78441639,26.235,67108865,1.441
268435456,78443213,26.252,67108865,1.607
268435456,78442477,27.061,67108865,1.511
268435456,78440670,26.135,67108865,1.517
268435456,78439396,26.286,67108865,1.427
268435456,78441750,25.826,67108865,1.458
268435456,78440350,25.937,67108865,1.442
268435456,78441570,25.891,67108865,1.446
268435456,78440285,26.137,67108865,1.457
268435456,78441132,25.929,67108865,1.472
268435456,78438962,26.207,67108865,1.463
268435456,78442943,25.911,67108865,1.482
268435456,78441529,26.033,67108865,1.487
268435456,78441425,25.962,67108865,1.456
268435456,78442902,26.463,67108865,1.493
268435456,78439264,25.86,67108865,1.448
268435456,78441378,25.906,67108865,1.449
268435456,78440639,25.968,67108865,1.48
268435456,78441445,26.174,67108865,1.457
268435456,78443044,25.921,67108865,1.432
268435456,78442402,25.797,67108865,1.45
268435456,78442304,25.795,67108865,1.45
268435456,78441828,25.764,67108865,1.535
268435456,78442404,25.809,67108865,1.492
268435456,78441791,29.344,67108865,1.779
